"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3","1","100nF, VCC","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4","1","100nF, AVCC","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6,C7","2","22pF","","","","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"C8","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","LED_PWR","","","","LED_THT:LED_D5.0mm","~"
"D2","1","LED_ERR","","","","LED_THT:LED_D5.0mm","~"
"J1","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Molex_47346-0001","~"
"J2","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","Conn_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J4","1","AVR-ISP-6","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"JTP1","1","TP-USB5V","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP2","1","TP-5VBOARD","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP3","1","TP-SDA","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP4","1","TP-LM317IN","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP5","1","TP-GND","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP6","1","TP-ADC","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP7","1","TP-AVCC","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP8","1","TP-RESET","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP9","1","TP-MEAS","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"JTP10","1","TP-DISCH","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"Q1","1","IRLML6402","","","","Package_TO_SOT_SMD:SOT-23","https://www.infineon.com/dgdl/irlml6402pbf.pdf?fileId=5546d462533600a401535668d5c2263c"
"Q2","1","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"R1","1","1k Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R3","2","100K Ω","","","","Resistor_SMD:R_MELF_MMB-0207","~"
"R4,R5","2","4,7K Ω","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6,R7","2","330 Ω","","","","Resistor_SMD:R_MELF_MMB-0207","~"
"R8","1","1,2K Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R9","1","100k Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R10","1","10K Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~"
"U1","1","ATmega328P-AU","","","","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U2","1","LM317L_SOT-89","","","","Package_TO_SOT_SMD:SOT-89-3","http://www.ti.com/lit/ds/symlink/lm317l.pdf"
"Y1","1","Crystal 16MHz","","","","Crystal:Crystal_HC49-U_Vertical","~"
